Year,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Awards
1978,21,LAD,NL,7,4,.636,2.02,23,13,6,4,3,3,111.1,92,28,25,6,26,2,66,1,2,2,439,174,2.83,1.060,7.4,0.5,2.1,5.3,2.54,
1979,22,LAD,NL,5,6,.455,3.98,25,12,10,1,0,5,81.1,82,42,36,7,32,4,64,3,0,0,349,92,3.57,1.402,9.1,0.8,3.5,7.1,2.00,
1980,23,LAD,NL,14,9,.609,3.29,32,32,0,3,2,0,213.2,190,85,78,15,79,6,141,3,5,7,889,108,3.50,1.259,8.0,0.6,3.3,5.9,1.78,AS
1981,24,LAD,NL,9,5,.643,3.44,23,23,0,2,1,0,141.1,141,56,54,11,41,0,88,3,0,2,601,98,3.30,1.288,9.0,0.7,2.6,5.6,2.15,
1982,25,LAD,NL,16,11,.593,3.36,36,36,0,9,3,0,235.2,199,94,88,19,81,5,176,5,1,5,965,104,3.37,1.188,7.6,0.7,3.1,6.7,2.17,
1983,26,LAD,NL,15,12,.556,2.65,31,31,0,4,3,0,204.0,164,73,60,13,72,4,156,3,6,4,828,136,3.16,1.157,7.2,0.6,3.2,6.9,2.17,CYA-8
1984,27,LAD,NL,13,13,.500,3.78,31,29,0,3,1,0,178.2,191,86,75,11,58,7,126,2,2,4,771,93,3.17,1.394,9.6,0.6,2.9,6.3,2.17,
1985,28,LAD,NL,14,4,.778,2.31,23,23,0,8,3,0,167.1,141,49,43,16,35,2,96,6,4,7,675,150,3.52,1.052,7.6,0.9,1.9,5.2,2.74,
1986,29,LAD,NL,7,13,.350,3.28,33,33,0,7,3,0,235.2,227,95,86,14,55,6,183,7,1,2,981,106,2.78,1.197,8.7,0.5,2.1,7.0,3.33,
1987,30,LAD,NL,15,9,.625,3.22,35,35,0,6,4,0,251.2,204,94,90,21,86,6,196,4,4,4,1027,125,3.47,1.152,7.3,0.8,3.1,7.0,2.28,CYA-8
1988,31,OAK,AL,17,9,.654,3.64,36,36,0,4,2,0,244.2,237,107,99,22,81,1,158,10,13,3,1034,105,3.76,1.300,8.7,0.8,3.0,5.8,1.95,
1989,32,OAK,AL,17,8,.680,3.00,33,33,0,1,0,0,209.2,191,82,70,13,78,3,137,6,0,5,884,123,3.46,1.283,8.2,0.6,3.3,5.9,1.76,
1990,33,OAK,AL,27,6,.818,2.95,35,35,0,2,2,0,238.0,214,90,78,26,77,4,127,5,2,2,979,125,4.19,1.223,8.1,1.0,2.9,4.8,1.65,ASCYA-1MVP-9
1991,34,OAK,AL,12,13,.480,4.58,35,35,0,7,1,0,220.0,220,124,112,25,91,3,101,11,2,3,950,83,4.81,1.414,9.0,1.0,3.7,4.1,1.11,
1992,35,OAK,AL,11,7,.611,3.27,20,20,0,0,0,0,123.2,114,47,45,13,43,0,47,2,0,1,513,114,4.48,1.270,8.3,0.9,3.1,3.4,1.09,
1993,36,OAK,AL,9,11,.450,5.29,30,28,0,0,0,0,166.2,208,102,98,25,56,5,63,7,0,1,746,77,5.32,1.584,11.2,1.4,3.0,3.4,1.13,
1994,37,OAK,AL,3,6,.333,7.08,25,8,4,0,0,0,68.2,79,56,54,10,43,2,44,1,3,3,325,63,5.66,1.777,10.4,1.3,5.6,5.8,1.02,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,211,146,.591,3.47,506,462,20,61,28,8,3092.0,2894,1310,1191,267,1034,60,1969,79,45,55,12956,106,3.71,1.270,8.4,0.8,3.0,5.7,1.90,
162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,162 Game Avg.\pitch_glossary.shtml#162_avg,15,10,.591,3.47,36,32,1,4,2,1,217,203,92,84,19,73,4,138,6,3,4,910,106,3.71,1.270,8.4,0.8,3.0,5.7,1.90,
LAD (10 yrs),LAD (10 yrs),LAD (10 yrs),LAD (10 yrs),115,86,.572,3.14,292,267,16,47,23,8,1820.2,1631,702,635,133,565,42,1292,37,25,37,7525,114,3.26,1.206,8.1,0.7,2.8,6.4,2.29,
OAK (7 yrs),OAK (7 yrs),OAK (7 yrs),OAK (7 yrs),96,60,.615,3.94,214,195,4,14,5,0,1271.1,1263,608,556,134,469,18,677,42,20,18,5431,97,4.35,1.362,8.9,0.9,3.3,4.8,1.44,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NL (10 yrs),NL (10 yrs),NL (10 yrs),NL (10 yrs),115,86,.572,3.14,292,267,16,47,23,8,1820.2,1631,702,635,133,565,42,1292,37,25,37,7525,114,3.26,1.206,8.1,0.7,2.8,6.4,2.29,